age_range,gender,duration_of_medication,review_date,condition,overall_rating,upvotes,drug_name
,Female,1 to 6 months,11/18/2019,infection caused by bacteria,5.0,1.0,Cleocin HCl oral
  45-54,,,7/30/2019,infection caused by bacteria,3.0,,Cleocin HCl oral
  35-44,Female,less than 1 month,5/16/2019,Skin Infection due to Staphylococcus Aureus Bacteria,3.3,,Cleocin HCl oral
  19-24,Female,less than 1 month,5/15/2019,infection caused by bacteria,2.3,,Cleocin HCl oral
  13-18,Female,less than 1 month,4/16/2019,infection caused by bacteria,1.0,,Cleocin HCl oral
,Male,less than 1 month,12/10/2018,Skin Infection,2.3,1.0,Cleocin HCl oral
  65-74,,,5/27/2016,Skin Infection due to Staphylococcus Aureus Bacteria,5.0,1.0,Cleocin HCl oral
  75 or over,Male,less than 1 month,8/3/2015,Skin Infection,1.7,,Cleocin HCl oral
  55-64,Male,less than 1 month,6/2/2014,Skin Infection due to Staphylococcus Aureus Bacteria,1.0,,Cleocin HCl oral
,,,11/13/2013,Inflammation of the Vagina caused by Bacteria,3.7,,Cleocin HCl oral
  55-64,Male,less than 1 month,8/20/2012,Skin Infection,4.7,2.0,Cleocin HCl oral
  35-44,Female,less than 1 month,5/16/2012,Skin Infection due to Anaerobic Bacteria,1.7,,Cleocin HCl oral
  35-44,Female,less than 1 month,9/3/2011,Skin Infection,4.0,,Cleocin HCl oral
  45-54,Female,less than 1 month,8/22/2011,Severe Sinusitis caused by Streptococcus Pneumoniae,1.7,,Cleocin HCl oral
  35-44,Male,less than 1 month,7/17/2011,Skin Infection,1.7,,Cleocin HCl oral
  25-34,Female,less than 1 month,5/19/2011,Inflammation of the Vagina caused by Bacteria,2.0,,Cleocin HCl oral
,Female,less than 1 month,4/23/2011,Sepsis Caused by Bacteria,3.0,,Cleocin HCl oral
  25-34,Female,less than 1 month,2/19/2011,Skin Infection,1.7,1.0,Cleocin HCl oral
  35-44,Female,less than 1 month,3/6/2010,Sinus Irritation and Congestion,1.0,1.0,Cleocin HCl oral
  45-54,Female,less than 1 month,3/4/2010,Skin Infection,2.7,,Cleocin HCl oral
  45-54,Male,less than 1 month,1/6/2010,Skin Infection,1.3,,Cleocin HCl oral
  45-54,Female,less than 1 month,10/15/2009,Sinus Irritation and Congestion,1.0,,Cleocin HCl oral
  25-34,Female,less than 1 month,9/15/2009,Acute Sinus Infection caused by Staphylococcus Bacteria,2.3,,Cleocin HCl oral
,Female,less than 1 month,7/7/2009,Skin Infection due to Staphylococcus Aureus Bacteria,3.3,,Cleocin HCl oral
  19-24,Male,less than 1 month,5/28/2009,Non-Contagious Disease due to Actinomyces Bacteria,3.3,,Cleocin HCl oral
,Female,less than 1 month,4/4/2009,Skin Infection,3.0,,Cleocin HCl oral
  25-34,Female,less than 1 month,1/17/2009,Middle Ear Infection,1.0,,Cleocin HCl oral
  3-6,Female,less than 1 month,1/6/2009,Skin Infection due to Staphylococcus Aureus Bacteria,2.3,1.0,Cleocin HCl oral
  55-64,Male,less than 1 month,12/31/2008,Skin Infection due to Staphylococcus Aureus Bacteria,3.3,,Cleocin HCl oral
  35-44,Male,1 to 6 months,12/11/2008,Middle Ear Infection,1.3,2.0,Cleocin HCl oral
  25-34,Female,1 to 6 months,9/3/2008,Skin Infection due to Staphylococcus Aureus Bacteria,3.3,,Cleocin HCl oral
  7-12,Male,less than 1 month,3/2/2008,Sinus Irritation and Congestion,2.3,4.0,Cleocin HCl oral
,,,2/24/2008,Skin Infection,1.7,6.0,Cleocin HCl oral
,Male,6 months to less than 1 year,10/30/2007,Skin Infection due to Staphylococcus Aureus Bacteria,2.0,4.0,Cleocin HCl oral
,,,10/25/2007,Skin Infection due to Staphylococcus Aureus Bacteria,4.7,6.0,Cleocin HCl oral
  45-54,Male,less than 1 month,10/18/2007,Skin Infection due to Staphylococcus Aureus Bacteria,3.7,6.0,Cleocin HCl oral
  45-54,Female,less than 1 month,12/23/2022,Itching,2.3,1.0,loratadine oral
  35-44,Female,less than 1 month,8/30/2022,Stuffy Nose,3.3,,loratadine oral
  45-54,Male,1 to 6 months,10/5/2021,Stuffy Nose,5.0,1.0,loratadine oral
  65-74,,,12/5/2020,Stuffy Nose,3.7,1.0,loratadine oral
  55-64,,,4/10/2020,Allergic Conjunctivitis,5.0,1.0,loratadine oral
,Female,less than 1 month,2/23/2019,Allergic Conjunctivitis,2.0,1.0,loratadine oral
  7-12,Male,5 to less than 10 years,12/8/2018,Allergic Conjunctivitis,2.7,2.0,loratadine oral
  19-24,Female,2 to less than 5 years,6/26/2018,Sneezing,2.3,,loratadine oral
  13-18,Female,less than 1 month,10/16/2015,Sneezing,3.3,1.0,loratadine oral
,Female,1 to 6 months,8/24/2015,Inflammation of the Nose due to an Allergy,1.7,23.0,loratadine oral
  65-74,Female,1 to 6 months,8/9/2015,Inflammation of the Nose due to an Allergy,2.7,11.0,loratadine oral
,Female,less than 1 month,8/9/2015,Itching,1.7,3.0,loratadine oral
,Female,6 months to less than 1 year,8/4/2015,Itching,5.0,2.0,loratadine oral
  25-34,Female,1 to 6 months,5/13/2015,Sneezing,3.0,3.0,loratadine oral
  55-64,Female,1 to 6 months,8/14/2014,Inflammation of the Nose due to an Allergy,4.7,11.0,loratadine oral
,Female,6 months to less than 1 year,4/27/2014,Itching,2.3,1.0,loratadine oral
,Female,less than 1 month,10/15/2013,Inflammation of the Nose due to an Allergy,1.0,16.0,loratadine oral
,Male,,5/5/2013,Allergic Conjunctivitis,3.7,,loratadine oral
  25-34,Female,1 to 6 months,4/25/2013,Sneezing,2.7,,loratadine oral
,,,4/15/2013,Stuffy Nose,4.3,2.0,loratadine oral
  25-34,Female,2 to less than 5 years,4/10/2013,Sneezing,4.3,1.0,loratadine oral
  55-64,Male,2 to less than 5 years,3/30/2013,Allergic Conjunctivitis,5.0,2.0,loratadine oral
  35-44,Female,2 to less than 5 years,1/24/2013,Sneezing,4.3,3.0,loratadine oral
  55-64,Female,1 to 6 months,1/10/2013,Allergic Conjunctivitis,2.3,1.0,loratadine oral
,Male,10 years or more,9/4/2012,Stuffy Nose,4.0,,loratadine oral
,Female,1 to 6 months,8/16/2012,Inflammation of the Nose due to an Allergy,5.0,21.0,loratadine oral
  7-12,Female,less than 1 month,7/12/2012,Inflammation of the Nose due to an Allergy,3.3,18.0,loratadine oral
  25-34,Male,2 to less than 5 years,6/5/2012,Inflammation of the Nose due to an Allergy,3.7,7.0,loratadine oral
,Male,,4/22/2012,Stuffy Nose,2.0,,loratadine oral
  65-74,Male,6 months to less than 1 year,4/21/2012,Allergic Conjunctivitis,3.7,2.0,loratadine oral
,Male,less than 1 month,1/8/2012,Inflammation of the Nose due to an Allergy,3.7,5.0,loratadine oral
,Female,1 to 6 months,11/26/2011,Itching,2.3,1.0,loratadine oral
  25-34,Male,less than 1 month,10/30/2011,Sneezing,3.0,2.0,loratadine oral
  55-64,Female,less than 1 month,9/17/2011,Inflammation of the Nose due to an Allergy,3.3,15.0,loratadine oral
  45-54,Male,less than 1 month,4/18/2011,Inflammation of the Nose due to an Allergy,2.7,37.0,loratadine oral
,,,2/9/2011,Stuffy Nose,5.0,2.0,loratadine oral
,Female,1 to less than 2 years,1/16/2011,Inflammation of the Nose due to an Allergy,3.0,9.0,loratadine oral
  65-74,Male,1 to 6 months,12/19/2010,Allergic Conjunctivitis,2.3,1.0,loratadine oral
  19-24,Female,less than 1 month,11/28/2010,Inflammation of the Nose due to an Allergy,4.3,4.0,loratadine oral
  35-44,Female,less than 1 month,9/20/2010,Inflammation of the Nose due to an Allergy,3.3,20.0,loratadine oral
  45-54,Female,1 to less than 2 years,5/21/2010,Stuffy Nose,5.0,6.0,loratadine oral
  55-64,Female,less than 1 month,5/17/2010,Stuffy Nose,5.0,4.0,loratadine oral
  25-34,Female,less than 1 month,5/14/2010,Stuffy Nose,3.0,3.0,loratadine oral
  55-64,Female,1 to 6 months,4/29/2010,Allergic Conjunctivitis,4.0,5.0,loratadine oral
  55-64,Male,less than 1 month,4/29/2010,Sneezing,3.0,4.0,loratadine oral
,Female,1 to less than 2 years,4/21/2010,Sneezing,4.0,1.0,loratadine oral
  45-54,Male,1 to 6 months,4/16/2010,Inflammation of the Nose due to an Allergy,4.3,35.0,loratadine oral
,Female,less than 1 month,2/25/2010,Inflammation of the Nose due to an Allergy,2.0,3.0,loratadine oral
  45-54,Female,,2/21/2010,Inflammation of the Nose due to an Allergy,4.3,21.0,loratadine oral
  25-34,Female,less than 1 month,1/18/2010,Sneezing,3.0,1.0,loratadine oral
,Male,6 months to less than 1 year,1/4/2010,Inflammation of the Nose due to an Allergy,3.0,2.0,loratadine oral
,Female,6 months to less than 1 year,12/5/2009,Itching,5.0,2.0,loratadine oral
,Female,2 to less than 5 years,11/7/2009,Inflammation of the Nose due to an Allergy,5.0,4.0,loratadine oral
  19-24,Female,2 to less than 5 years,10/15/2009,Allergic Conjunctivitis,4.0,4.0,loratadine oral
  13-18,Male,1 to less than 2 years,10/11/2009,Allergic Conjunctivitis,4.3,1.0,loratadine oral
,Male,1 to less than 2 years,9/26/2009,Allergic Conjunctivitis,5.0,1.0,loratadine oral
,Male,1 to 6 months,9/21/2009,Allergic Conjunctivitis,3.0,7.0,loratadine oral
  55-64,Female,1 to 6 months,8/13/2009,Stuffy Nose,3.0,8.0,loratadine oral
,,,8/11/2009,Allergic Conjunctivitis,4.0,1.0,loratadine oral
,Female,2 to less than 5 years,8/10/2009,Hives,5.0,3.0,loratadine oral
  7-12,Female,1 to 6 months,6/28/2009,Stuffy Nose,3.3,6.0,loratadine oral
  55-64,Female,1 to 6 months,6/16/2009,Allergic Conjunctivitis,4.3,1.0,loratadine oral
,Female,1 to 6 months,5/21/2009,Inflammation of the Nose due to an Allergy,5.0,3.0,loratadine oral
  25-34,Female,5 to less than 10 years,5/14/2009,Inflammation of the Nose due to an Allergy,3.3,16.0,loratadine oral
  45-54,Female,10 years or more,5/8/2009,Inflammation of the Nose due to an Allergy,3.3,20.0,loratadine oral
,Female,2 to less than 5 years,5/6/2009,Itching,3.0,7.0,loratadine oral
  13-18,Female,1 to less than 2 years,3/12/2009,Inflammation of the Nose due to an Allergy,5.0,2.0,loratadine oral
,Male,less than 1 month,3/6/2009,Sneezing,5.0,5.0,loratadine oral
,Female,1 to less than 2 years,2/18/2009,Inflammation of the Nose due to an Allergy,4.0,7.0,loratadine oral
  65-74,Female,1 to 6 months,2/15/2009,Inflammation of the Nose due to an Allergy,2.3,14.0,loratadine oral
  65-74,Female,less than 1 month,2/7/2009,Itching,5.0,4.0,loratadine oral
  65-74,Male,less than 1 month,11/30/2008,Stuffy Nose,3.3,4.0,loratadine oral
  65-74,Male,1 to 6 months,11/16/2008,Sneezing,2.3,2.0,loratadine oral
,Male,1 to less than 2 years,10/23/2008,Sneezing,4.0,,loratadine oral
  55-64,Male,6 months to less than 1 year,6/28/2008,Stuffy Nose,5.0,22.0,loratadine oral
  65-74,Female,1 to 6 months,6/16/2008,Allergic Conjunctivitis,4.3,3.0,loratadine oral
  45-54,Female,1 to 6 months,5/23/2008,Persistent Hives of Unknown Cause,5.0,15.0,loratadine oral
  45-54,Female,6 months to less than 1 year,1/17/2008,Inflammation of the Nose due to an Allergy,4.3,13.0,loratadine oral
,Female,5 to less than 10 years,12/11/2007,Hives,2.7,9.0,loratadine oral
,Female,less than 1 month,12/11/2007,Allergic Conjunctivitis,3.0,9.0,loratadine oral
,Male,less than 1 month,12/8/2007,Sneezing,3.3,4.0,loratadine oral
  35-44,Female,less than 1 month,11/5/2007,Stuffy Nose,3.7,5.0,loratadine oral
  25-34,Female,2 to less than 5 years,9/25/2007,Welt from Pressure on Skin,4.3,8.0,loratadine oral
  35-44,Female,1 to 6 months,8/10/2016,Overactive Bladder,5.0,10.0,Detrol LA oral
  65-74,Female,6 months to less than 1 year,6/17/2016,Urine Leakage When there is a Strong Desire to Void,2.7,,Detrol LA oral
  75 or over,Male,less than 1 month,9/17/2015,Overactive Bladder,4.7,13.0,Detrol LA oral
  65-74,Female,1 to 6 months,12/16/2014,Overactive Bladder,2.7,7.0,Detrol LA oral
,Female,,5/27/2014,Urine Leakage When there is a Strong Desire to Void,2.7,,Detrol LA oral
,Female,less than 1 month,3/26/2014,Frequent Urination,1.0,,Detrol LA oral
,Male,6 months to less than 1 year,3/19/2014,Frequent Urination,2.3,,Detrol LA oral
,Female,5 to less than 10 years,10/23/2013,Needing to Urinate Immediately,4.3,,Detrol LA oral
  65-74,Female,10 years or more,9/26/2013,Overactive Bladder,4.7,16.0,Detrol LA oral
  75 or over,Male,,9/24/2013,Frequent Urination,1.0,,Detrol LA oral
  75 or over,Male,less than 1 month,6/24/2013,Frequent Urination,4.7,,Detrol LA oral
  65-74,Female,less than 1 month,6/3/2013,Overactive Bladder,2.3,12.0,Detrol LA oral
  55-64,Female,1 to less than 2 years,5/25/2013,Needing to Urinate Immediately,3.7,2.0,Detrol LA oral
,Female,1 to 6 months,11/23/2012,Frequent Urination,4.0,,Detrol LA oral
  65-74,Male,less than 1 month,9/24/2012,Frequent Urination,2.0,,Detrol LA oral
  45-54,Female,1 to 6 months,6/14/2012,Urine Leakage When there is a Strong Desire to Void,2.0,,Detrol LA oral
  25-34,Female,1 to 6 months,5/27/2012,Overactive Bladder,2.3,24.0,Detrol LA oral
  3-6,Female,6 months to less than 1 year,4/5/2012,Overactive Bladder,4.0,20.0,Detrol LA oral
  55-64,Female,5 to less than 10 years,3/27/2012,Overactive Bladder,4.0,17.0,Detrol LA oral
  65-74,Female,less than 1 month,3/11/2012,Overactive Bladder,2.3,18.0,Detrol LA oral
  75 or over,Male,less than 1 month,3/10/2012,Urine Leakage When there is a Strong Desire to Void,1.0,,Detrol LA oral
,Male,1 to 6 months,3/10/2012,Urine Leakage When there is a Strong Desire to Void,4.3,,Detrol LA oral
  75 or over,Female,5 to less than 10 years,2/6/2012,Overactive Bladder,3.3,25.0,Detrol LA oral
,Female,less than 1 month,1/11/2012,Frequent Urination,2.7,,Detrol LA oral
  55-64,Female,2 to less than 5 years,12/8/2011,Overactive Bladder,4.3,12.0,Detrol LA oral
  45-54,Female,6 months to less than 1 year,10/2/2011,Overactive Bladder,5.0,18.0,Detrol LA oral
,Female,less than 1 month,9/26/2011,Overactive Bladder,2.7,9.0,Detrol LA oral
  65-74,Female,1 to 6 months,9/23/2011,Needing to Urinate Immediately,2.3,1.0,Detrol LA oral
  35-44,Female,less than 1 month,9/14/2011,Needing to Urinate Immediately,3.0,2.0,Detrol LA oral
,Female,6 months to less than 1 year,8/13/2011,Overactive Bladder,4.0,6.0,Detrol LA oral
  55-64,Female,1 to 6 months,7/30/2011,Needing to Urinate Immediately,3.0,,Detrol LA oral
,Female,1 to 6 months,7/2/2011,Overactive Bladder,4.3,16.0,Detrol LA oral
  45-54,Female,less than 1 month,6/27/2011,Overactive Bladder,5.0,18.0,Detrol LA oral
  55-64,Male,less than 1 month,6/23/2011,Overactive Bladder,2.3,1.0,Detrol LA oral
,Male,1 to less than 2 years,4/28/2011,Frequent Urination,2.0,2.0,Detrol LA oral
  55-64,Female,10 years or more,4/21/2011,Overactive Bladder,4.7,15.0,Detrol LA oral
  65-74,Female,1 to 6 months,4/17/2011,Urine Leakage When there is a Strong Desire to Void,4.3,,Detrol LA oral
  75 or over,Male,10 years or more,4/15/2011,Frequent Urination,4.3,1.0,Detrol LA oral
  55-64,,,4/8/2011,Urine Leakage When there is a Strong Desire to Void,2.3,,Detrol LA oral
,Female,1 to 6 months,3/30/2011,Frequent Urination,2.3,1.0,Detrol LA oral
  55-64,Female,6 months to less than 1 year,3/17/2011,Urine Leakage When there is a Strong Desire to Void,3.0,,Detrol LA oral
  55-64,Female,less than 1 month,3/2/2011,Urine Leakage When there is a Strong Desire to Void,4.3,,Detrol LA oral
  55-64,Female,,3/2/2011,Needing to Urinate Immediately,5.0,,Detrol LA oral
,Female,less than 1 month,2/26/2011,Frequent Urination,2.3,,Detrol LA oral
,Female,1 to 6 months,1/2/2011,Urine Leakage When there is a Strong Desire to Void,3.3,1.0,Detrol LA oral
  75 or over,Female,less than 1 month,12/18/2010,Overactive Bladder,2.7,8.0,Detrol LA oral
,Female,5 to less than 10 years,12/11/2010,Urine Leakage When there is a Strong Desire to Void,3.7,,Detrol LA oral
  65-74,Female,1 to less than 2 years,12/7/2010,Overactive Bladder,3.3,8.0,Detrol LA oral
  65-74,Female,less than 1 month,9/24/2010,Overactive Bladder,5.0,12.0,Detrol LA oral
,Female,5 to less than 10 years,8/3/2010,Overactive Bladder,4.0,8.0,Detrol LA oral
,Female,,6/28/2010,Overactive Bladder,3.3,8.0,Detrol LA oral
,Female,less than 1 month,5/29/2010,Urine Leakage When there is a Strong Desire to Void,5.0,,Detrol LA oral
,Female,,4/22/2010,Needing to Urinate Immediately,4.3,,Detrol LA oral
  75 or over,Female,1 to 6 months,4/17/2010,Overactive Bladder,2.3,6.0,Detrol LA oral
  45-54,Female,2 to less than 5 years,2/23/2010,Overactive Bladder,3.0,32.0,Detrol LA oral
,Female,2 to less than 5 years,2/19/2010,Needing to Urinate Immediately,5.0,,Detrol LA oral
,Male,less than 1 month,1/31/2010,Frequent Urination,3.0,,Detrol LA oral
,Male,6 months to less than 1 year,1/8/2010,Urine Leakage When there is a Strong Desire to Void,4.3,,Detrol LA oral
,Male,less than 1 month,12/2/2009,Needing to Urinate Immediately,5.0,,Detrol LA oral
  55-64,Male,less than 1 month,10/29/2009,Frequent Urination,3.0,,Detrol LA oral
  45-54,Female,10 years or more,10/26/2009,Overactive Bladder,2.3,28.0,Detrol LA oral
  65-74,Female,1 to 6 months,10/1/2009,Overactive Bladder,5.0,15.0,Detrol LA oral
  55-64,Male,6 months to less than 1 year,9/28/2009,Urine Leakage When there is a Strong Desire to Void,2.7,,Detrol LA oral
,Male,2 to less than 5 years,9/27/2009,Overactive Bladder,3.7,8.0,Detrol LA oral
  55-64,Female,5 to less than 10 years,9/24/2009,Overactive Bladder,4.3,11.0,Detrol LA oral
  35-44,Female,1 to 6 months,9/22/2009,Overactive Bladder,4.0,10.0,Detrol LA oral
,Female,less than 1 month,9/4/2009,Overactive Bladder,4.3,4.0,Detrol LA oral
  75 or over,Female,1 to 6 months,8/24/2009,Overactive Bladder,5.0,10.0,Detrol LA oral
,Female,1 to 6 months,7/12/2009,Urine Leakage When there is a Strong Desire to Void,2.0,,Detrol LA oral
  55-64,Female,2 to less than 5 years,7/4/2009,Overactive Bladder,5.0,11.0,Detrol LA oral
,Male,less than 1 month,7/1/2009,Urine Leakage When there is a Strong Desire to Void,3.0,,Detrol LA oral
  55-64,Female,less than 1 month,6/30/2009,Frequent Urination,4.3,2.0,Detrol LA oral
  55-64,Female,1 to 6 months,6/28/2009,Overactive Bladder,4.0,2.0,Detrol LA oral
,Female,less than 1 month,5/13/2009,Overactive Bladder,5.0,1.0,Detrol LA oral
  45-54,Female,less than 1 month,5/3/2009,Overactive Bladder,3.0,21.0,Detrol LA oral
,Female,2 to less than 5 years,4/5/2009,Needing to Urinate Immediately,1.0,4.0,Detrol LA oral
,Female,6 months to less than 1 year,3/26/2009,Frequent Urination,5.0,5.0,Detrol LA oral
  45-54,Female,2 to less than 5 years,2/24/2009,Needing to Urinate Immediately,5.0,3.0,Detrol LA oral
  75 or over,Female,less than 1 month,2/22/2009,Urine Leakage When there is a Strong Desire to Void,5.0,,Detrol LA oral
,Female,1 to less than 2 years,2/21/2009,Overactive Bladder,5.0,14.0,Detrol LA oral
,Female,6 months to less than 1 year,2/18/2009,Needing to Urinate Immediately,5.0,1.0,Detrol LA oral
,Male,less than 1 month,2/16/2009,Overactive Bladder,1.7,3.0,Detrol LA oral
,Female,5 to less than 10 years,2/15/2009,Overactive Bladder,5.0,16.0,Detrol LA oral
  45-54,Female,5 to less than 10 years,1/18/2009,Urine Leakage When there is a Strong Desire to Void,4.3,10.0,Detrol LA oral
  45-54,Female,less than 1 month,1/10/2009,Overactive Bladder,5.0,19.0,Detrol LA oral
,Female,less than 1 month,12/31/2008,Urine Leakage When there is a Strong Desire to Void,3.0,,Detrol LA oral
,Male,less than 1 month,12/31/2008,Needing to Urinate Immediately,4.3,1.0,Detrol LA oral
  55-64,Female,6 months to less than 1 year,12/30/2008,Overactive Bladder,4.3,15.0,Detrol LA oral
  65-74,Male,less than 1 month,12/16/2008,Overactive Bladder,5.0,12.0,Detrol LA oral
  25-34,Female,1 to 6 months,11/19/2008,Urine Leakage When there is a Strong Desire to Void,5.0,5.0,Detrol LA oral
  75 or over,Male,1 to less than 2 years,10/30/2008,Urine Leakage When there is a Strong Desire to Void,2.3,7.0,Detrol LA oral
  55-64,Female,2 to less than 5 years,10/24/2008,Overactive Bladder,5.0,20.0,Detrol LA oral
  55-64,Female,less than 1 month,10/18/2008,Overactive Bladder,2.3,16.0,Detrol LA oral
  65-74,Female,1 to less than 2 years,10/18/2008,Overactive Bladder,5.0,18.0,Detrol LA oral
  55-64,Female,10 years or more,10/9/2008,Overactive Bladder,3.0,10.0,Detrol LA oral
,Female,less than 1 month,9/24/2008,Overactive Bladder,4.3,16.0,Detrol LA oral
  13-18,Female,1 to 6 months,9/23/2008,Frequent Urination,5.0,5.0,Detrol LA oral
  65-74,Female,less than 1 month,9/12/2008,Urine Leakage When there is a Strong Desire to Void,2.0,3.0,Detrol LA oral
  55-64,Female,1 to less than 2 years,9/10/2008,Overactive Bladder,3.7,25.0,Detrol LA oral
,Male,less than 1 month,8/2/2008,Needing to Urinate Immediately,3.0,2.0,Detrol LA oral
  35-44,Female,1 to 6 months,7/17/2008,Needing to Urinate Immediately,5.0,9.0,Detrol LA oral
  75 or over,Male,2 to less than 5 years,7/11/2008,Overactive Bladder,3.3,2.0,Detrol LA oral
,Female,1 to less than 2 years,6/28/2008,Urine Leakage When there is a Strong Desire to Void,3.3,13.0,Detrol LA oral
  65-74,Female,1 to 6 months,6/25/2008,Needing to Urinate Immediately,4.7,6.0,Detrol LA oral
  19-24,Female,less than 1 month,6/18/2008,Overactive Bladder,1.0,26.0,Detrol LA oral
  75 or over,Male,2 to less than 5 years,6/3/2008,Frequent Urination,5.0,5.0,Detrol LA oral
,Female,6 months to less than 1 year,11/18/2020,Chronic Trouble Sleeping,3.0,1.0,Desyrel oral
  65-74,,,11/25/2019,Chronic Trouble Sleeping,1.0,2.0,Desyrel oral
  45-54,Male,5 to less than 10 years,12/17/2015,Major Depressive Disorder,5.0,2.0,Desyrel oral
,Male,1 to 6 months,7/30/2015,Chronic Trouble Sleeping,4.3,3.0,Desyrel oral
,Male,10 years or more,2/16/2015,Depression,5.0,3.0,Desyrel oral
  65-74,Male,10 years or more,7/20/2014,Chronic Trouble Sleeping,4.7,9.0,Desyrel oral
  45-54,Female,10 years or more,5/1/2014,Chronic Trouble Sleeping,5.0,13.0,Desyrel oral
  45-54,Male,2 to less than 5 years,2/21/2014,Chronic Trouble Sleeping,5.0,11.0,Desyrel oral
  25-34,Female,less than 1 month,10/21/2013,Chronic Trouble Sleeping,1.0,23.0,Desyrel oral
,Female,less than 1 month,10/11/2013,Depression,3.0,,Desyrel oral
  55-64,Male,1 to 6 months,7/17/2013,Chronic Trouble Sleeping,1.7,2.0,Desyrel oral
,Female,5 to less than 10 years,5/27/2013,Chronic Trouble Sleeping,4.3,12.0,Desyrel oral
  45-54,Female,1 to 6 months,2/10/2013,Chronic Trouble Sleeping,2.7,7.0,Desyrel oral
,Female,less than 1 month,11/25/2012,Chronic Trouble Sleeping,3.7,2.0,Desyrel oral
,Female,10 years or more,10/2/2012,Chronic Trouble Sleeping,2.3,3.0,Desyrel oral
  55-64,Female,10 years or more,7/13/2012,Chronic Trouble Sleeping,4.3,6.0,Desyrel oral
  45-54,Female,,7/1/2012,Chronic Trouble Sleeping,4.0,1.0,Desyrel oral
  45-54,Female,1 to 6 months,2/4/2012,Major Depressive Disorder,4.0,1.0,Desyrel oral
  45-54,Female,less than 1 month,11/16/2011,Chronic Trouble Sleeping,2.0,13.0,Desyrel oral
  65-74,Male,less than 1 month,10/22/2011,Chronic Trouble Sleeping,1.0,5.0,Desyrel oral
  65-74,Female,less than 1 month,10/10/2011,Depression,1.7,2.0,Desyrel oral
  19-24,Female,1 to less than 2 years,9/9/2011,Chronic Trouble Sleeping,2.3,25.0,Desyrel oral
,Male,2 to less than 5 years,8/26/2011,Chronic Trouble Sleeping,4.3,4.0,Desyrel oral
  45-54,,,7/13/2011,Chronic Trouble Sleeping,4.7,6.0,Desyrel oral
  35-44,Male,less than 1 month,6/15/2011,Major Depressive Disorder,5.0,1.0,Desyrel oral
  55-64,Female,6 months to less than 1 year,4/19/2011,Chronic Trouble Sleeping,4.3,12.0,Desyrel oral
  55-64,Male,10 years or more,4/13/2011,Chronic Trouble Sleeping,3.7,6.0,Desyrel oral
  65-74,Female,1 to 6 months,3/10/2011,Chronic Trouble Sleeping,1.7,7.0,Desyrel oral
  45-54,Female,less than 1 month,2/18/2011,Chronic Trouble Sleeping,1.0,6.0,Desyrel oral
,Female,5 to less than 10 years,12/4/2010,Depression,5.0,2.0,Desyrel oral
,Male,,12/4/2010,Depression,3.0,,Desyrel oral
  65-74,Male,10 years or more,11/7/2010,Chronic Trouble Sleeping,5.0,9.0,Desyrel oral
  55-64,Female,less than 1 month,10/29/2010,Chronic Trouble Sleeping,5.0,7.0,Desyrel oral
  55-64,Female,2 to less than 5 years,9/23/2010,Major Depressive Disorder,2.7,2.0,Desyrel oral
  25-34,Female,2 to less than 5 years,8/30/2010,Chronic Trouble Sleeping,4.0,15.0,Desyrel oral
  45-54,Female,10 years or more,6/16/2010,Chronic Trouble Sleeping,5.0,11.0,Desyrel oral
,Male,1 to 6 months,6/12/2010,Chronic Trouble Sleeping,2.7,3.0,Desyrel oral
  55-64,Female,10 years or more,5/20/2010,Chronic Trouble Sleeping,2.3,12.0,Desyrel oral
  55-64,Female,6 months to less than 1 year,4/26/2010,Chronic Trouble Sleeping,1.7,4.0,Desyrel oral
  75 or over,Female,less than 1 month,4/23/2010,Chronic Trouble Sleeping,3.0,6.0,Desyrel oral
  25-34,Male,1 to 6 months,3/16/2010,Chronic Trouble Sleeping,5.0,15.0,Desyrel oral
  45-54,Male,6 months to less than 1 year,3/4/2010,Chronic Trouble Sleeping,4.3,5.0,Desyrel oral
  45-54,Male,1 to 6 months,1/21/2010,Chronic Trouble Sleeping,5.0,,Desyrel oral
  25-34,Female,less than 1 month,12/31/2009,Chronic Trouble Sleeping,5.0,3.0,Desyrel oral
  25-34,Female,less than 1 month,12/25/2009,Chronic Trouble Sleeping,3.7,6.0,Desyrel oral
  45-54,Male,1 to 6 months,12/10/2009,Chronic Trouble Sleeping,5.0,13.0,Desyrel oral
  45-54,Female,1 to less than 2 years,11/19/2009,Depression,2.7,1.0,Desyrel oral
  19-24,Male,2 to less than 5 years,10/28/2009,Chronic Trouble Sleeping,3.3,12.0,Desyrel oral
,Female,1 to 6 months,10/27/2009,Chronic Trouble Sleeping,3.7,1.0,Desyrel oral
,Female,less than 1 month,10/21/2009,Chronic Trouble Sleeping,2.3,2.0,Desyrel oral
  25-34,Female,5 to less than 10 years,9/21/2009,Depression,5.0,1.0,Desyrel oral
  75 or over,Female,1 to 6 months,9/4/2009,Chronic Trouble Sleeping,2.3,7.0,Desyrel oral
  25-34,Female,2 to less than 5 years,8/18/2009,Chronic Trouble Sleeping,5.0,18.0,Desyrel oral
  65-74,Female,10 years or more,8/18/2009,Chronic Trouble Sleeping,4.7,12.0,Desyrel oral
,Male,less than 1 month,8/15/2009,Chronic Trouble Sleeping,1.0,5.0,Desyrel oral
  35-44,Female,1 to 6 months,8/10/2009,Chronic Trouble Sleeping,3.3,3.0,Desyrel oral
,Female,1 to 6 months,7/13/2009,Chronic Trouble Sleeping,4.0,3.0,Desyrel oral
